Source File,Question,Ground Truth 
libc (fcntl64.txt),Why was the fcntl64() system call specifically added in Linux 2.4?,It was added because the original fcntl() call could not handle large file offsets in the flock structure.
libc (fcntl64.txt),How does glibc handle the difference between the original fcntl and fcntl64 for applications?,The glibc fcntl() wrapper function transparently employs the more recent fcntl64 system call where available.
libc (fcntl64.txt),What are the known limitations of the kernel's deadlock-detection algorithm for F_SETLKW?,It can yield false negatives/positives and limits the lock depth of its dependency search to 10 steps.
libc (fcntl64.txt),"Since Linux 3.12, what happens to an NFSv4 client's I/O if it loses contact with the server?",Any I/O to the file by a process thinking it holds a lock will fail until the process closes and reopens the file.
libc (clone.txt),What is the main difference between clone() and fork() in terms of resource sharing?,"Unlike fork(), clone() allows the child process to share parts of its execution context with the calling process, such as memory space and file descriptor table."
libc (mmap.txt),"When using mmap(), what does the MAP_PRIVATE flag ensure regarding memory modifications?","It creates a private copy-on-write mapping, meaning modifications to the memory are not visible to other processes mapping the same file and are not carried through to the underlying file."
libc (epoll_ctl.txt),What is the purpose of the EPOLL_CTL_MOD operation in the epoll_ctl system call?,It is used to modify the settings (events) associated with a file descriptor that is already present in the epoll instance's interest list.
libc (execve.txt),"What happens to the existing memory segments (stack, data, heap) of a process when execve() is successfully called?","The calling process's text, data, bss, and stack segments are overwritten by those of the new program being loaded."
libc (brk.txt),How do brk() and sbrk() manipulate the program break to allocate memory?,"brk() sets the end of the data segment to a specific address, while sbrk() increments the program's data space by a relative number of bytes."
libc (select.txt),What is the maximum value of a file descriptor that select() can monitor by default?,select() is restricted to monitoring file descriptors with a value lower than FD_SETSIZE (typically 1024).
libc (nanosleep.txt),"If nanosleep() is interrupted by a signal, how can the remaining sleep time be retrieved?","If the rem argument is not NULL, the function will store the remaining time (that was not slept) into the timespec structure pointed to by rem."
libc (_Exit.txt),Does the _Exit() function perform standard cleanup like flushing stdio buffers before terminating?,"No, _Exit() terminates the process immediately without calling functions registered with atexit or flushing standard I/O buffers."
libc (accept.txt),What is the purpose of the addrlen argument in the accept() system call?,"It is a value-result argument that initially contains the size of the structure pointed to by addr, and on return, it contains the actual size of the peer address."
libc (bind.txt),What happens if you try to bind() a socket to an address that is already in use?,"The call will fail, and errno will be set to EADDRINUSE."
libc (chown.txt),"If the owner or group argument to chown() is specified as -1, what occurs?",That particular ID (owner or group) is not changed.
libc (getpid.txt),"Is it possible for getpid() to return an error, and what does it return?","No, getpid() is always successful and returns the process ID of the calling process without errors."
libc (mkdir.txt),How are the mode bits of a newly created directory modified by the process's umask?,The actual mode of the new directory is set to (mode & ~umask & 0777).
PyTorch (dataloader.txt),How does num_workers > 0 affect data loading in a DataLoader?,"It enables multi-process data loading, where data is pre-fetched in separate worker processes to prevent the CPU from becoming a bottleneck for the GPU."
PyTorch (optimizer.txt),What is the specific role of optimizer.zero_grad() in a standard training loop?,It clears the gradients of all optimized torch.Tensors to prevent them from accumulating across multiple backward passes.
PyTorch (distributed.txt),"In PyTorch distributed training, what does the all_reduce operation do?",It performs an operation (like summation) on tensors across all processes in the group and scatters the identical result back to every process.
PyTorch (loss.txt),What is the difference between reduction='mean' and reduction='sum' in PyTorch loss functions?,"'mean' divides the total loss by the number of elements in the output, while 'sum' simply adds up the loss for all elements without averaging."
PyTorch (model.txt),What is the primary difference between model.train() and model.eval() for layers like BatchNorm and Dropout?,"model.train() enables dropout and uses batch statistics for BatchNorm, while model.eval() disables dropout and uses running mean/variance for BatchNorm."
PyTorch (ddp.txt),What are the primary advantages of using DistributedDataParallel (DDP) over DataParallel (DP)?,DDP uses multi-processing to avoid Python's GIL contention and provides higher throughput by overlapping gradient communication with computation.
PyTorch (autograd.txt),How does torch.no_grad() impact memory consumption during inference?,"It disables the gradient engine, preventing the storage of intermediate tensors (activations) required for the backward pass, thus reducing memory usage."
PyTorch (cuda.txt),"What is the recommended way to handle ""CUDA Out of Memory"" (OOM) errors during training?","Recommendations include reducing batch size, using torch.utils.checkpoint to trade compute for memory, or using Mixed Precision (AMP)."
PyTorch (jit.txt),What is the difference between Scripting and Tracing in TorchScript?,"Tracing records operations by running a sample input (static graph), while Scripting parses the Python source code directly to handle data-dependent control flow (dynamic graph)."
